matrix	gap_open	gap_extend	lambda	K	H	alpha	beta	C	alpha_v	sigma	lambda_err	K_err
14p35g	29	6	0.1241860392	0.2565118357	0.3349210581	0.3707919708	-4.9556787558	0.6376692514	0.9227739447	0.4531519888	0.0000726577	0.0032430575
14p37g	29	6	0.1243509013	0.2538327145	0.3484386549	0.3568803276	-4.2557855073	0.6268612355	0.8776725296	0.4280544066	0.0000536460	0.0039926771
14p39g	29	6	0.1181081970	0.2381799563	0.3209988018	0.3679396818	-4.7872670508	0.6458861565	0.9023682178	0.4382123010	0.0000876035	0.0026542024
14p41g	29	6	0.1209164962	0.2516961980	0.3474870516	0.3479741063	-4.1671740719	0.6342492509	0.8383966802	0.4086384478	0.0000622643	0.0034159601
14p43g	29	6	0.1204338701	0.2484920137	0.3397421891	0.3544860600	-4.6293999434	0.6335182271	0.9246502826	0.4497969208	0.0000545148	0.0026044127
14p45g	29	6	0.1281012415	0.2651519027	0.3664022072	0.3496191861	-3.6832931705	0.6286241733	0.6767917660	0.3297802745	0.0000507188	0.0037873774
14p47g	29	6	0.1169571490	0.2334091021	0.3226817427	0.3624535680	-4.5920236604	0.6335029615	0.8743834402	0.4257435079	0.0002458728	0.0027528815
14p49g	29	6	0.1167697593	0.2289233061	0.3136272704	0.3723201723	-5.1451440085	0.6470921715	1.0683382337	0.5198253075	0.0001947962	0.0029636421
14p51g	29	6	0.1238779017	0.2467119379	0.3241338301	0.3821813407	-4.7436611259	0.6393464126	0.9593479349	0.4702766916	0.0000816278	0.0034742547
14p53g	29	6	0.1211022467	0.2307304663	0.2949314271	0.4106115373	-5.7396872323	0.6509649113	1.1785051586	0.5792624089	0.0001086980	0.0028345157
18p35g	28	5	0.1204776630	0.2111410357	0.2484902185	0.4848386537	-9.2182340936	0.6752170433	2.1606541202	1.0484662289	0.0002210527	0.0026184249
18p37g	28	5	0.1213800379	0.2057492194	0.2637651575	0.4601822282	-7.8387763089	0.6634706649	1.7397466037	0.8478035267	0.0001256863	0.0027932094
18p39g	28	5	0.1228853168	0.2111281814	0.2802003038	0.4385623968	-7.0578183141	0.6507907902	1.4885560885	0.7199586033	0.0001105119	0.0019179581
18p41g	28	5	0.1096830298	0.1715966796	0.2171487218	0.5051055741	-11.7456266060	0.6706637082	2.7140718779	1.3177448787	0.0001138492	0.0023225674
18p43g	28	5	0.1179924113	0.1957371364	0.2544060456	0.4637956264	-8.6308911899	0.6619649639	1.9654212688	0.9528104325	0.0001257310	0.0026863812
18p45g	28	5	0.1184247414	0.2068045787	0.2641082233	0.4483947525	-7.7015871289	0.6647478965	1.7409388284	0.8407473007	0.0001071391	0.0030491761
18p47g	28	5	0.1158783320	0.1842046578	0.2407688058	0.4812846568	-9.3350958350	0.6636109911	2.0412135907	0.9989676600	0.0001909825	0.0031309693
18p49g	28	5	0.1248964218	0.2141853759	0.2675489105	0.4668171574	-7.4491443151	0.6579502947	1.7059257607	0.8287060508	0.0002057696	0.0024748567
18p51g	28	5	0.1106793836	0.1621592148	0.1979815532	0.5590388692	-12.8501033717	0.6862451952	2.9575500575	1.4379082677	0.0001467235	0.0027743283
18p53g	28	5	0.1082347513	0.1408677318	0.1771724651	0.6109005213	-15.3466248356	0.6876631931	4.0564962157	1.9697529516	0.0002643244	0.0029703830
20p35g	25	5	0.1112832877	0.1466667286	0.1741696492	0.6389361652	-16.1539210401	0.6939861689	4.4004828520	2.1470674023	0.0001425109	0.0023321537
20p37g	25	5	0.1134511409	0.1501236494	0.1931808749	0.5872793615	-13.5882818380	0.6912873772	3.4571364323	1.6853854448	0.0002096704	0.0033526738
20p39g	25	5	0.1233401001	0.1853070864	0.2324952723	0.5305058416	-10.1409992518	0.6686400007	2.3591423933	1.1430502738	0.0001450461	0.0028804160
20p41g	25	5	0.1088138918	0.1409300313	0.1778018484	0.6119952790	-15.5850295250	0.6856570575	4.1138777767	1.9955787466	0.0001820626	0.0028652866
20p43g	25	5	0.1097495426	0.1408421343	0.1813610542	0.6051439383	-15.4307026893	0.6803831068	3.8167291506	1.8473169851	0.0002674788	0.0023852104
20p45g	25	5	0.1101110565	0.1402262486	0.1803401526	0.6105742671	-15.6260598026	0.6805292073	4.0158358564	1.9415461440	0.0001999856	0.0032432843
20p47g	25	5	0.1198508511	0.1752301830	0.2232474229	0.5368521150	-10.4176260459	0.6713276191	2.6779374226	1.2941738959	0.0002544721	0.0026487023
20p49g	25	5	0.1150022018	0.1500562415	0.1891763921	0.6079099011	-13.5050176934	0.6781094865	3.5156097791	1.6995296741	0.0002259396	0.0025128435
20p51g	25	5	0.1101356126	0.1310353805	0.1457676447	0.7555559594	-21.3682588971	0.7074848128	6.8421934749	3.3156764005	0.0002718139	0.0027796217
20p53g	25	5	0.1239625969	0.1752022586	0.2106659340	0.5884320949	-10.5699570672	0.6880451424	2.9893946322	1.4621317927	0.0001735531	0.0024052846
25p35g	22	5	0.0965155465	0.0677355511	0.0964040436	1.0011566204	-30.4001018884	0.7463323646	12.8985688752	6.3160546120	0.0003099740	0.0017555346
25p37g	22	5	0.0989264764	0.0763719670	0.1025772305	0.9644097036	-28.8030585190	0.7534369916	10.3238636911	5.4967139310	0.0004182991	0.0010588345
25p39g	22	5	0.1005843197	0.0805691511	0.1108913867	0.9070525919	-25.8716566451	0.7338324013	8.9465479422	4.3181012869	0.0002217616	0.0016421415
25p41g	22	5	0.1030661339	0.0840485952	0.1237017673	0.8331823881	-22.5514671160	0.7252697767	6.8660512763	3.3245591280	0.0004899589	0.0018608151
25p43g	22	5	0.1155434360	0.1226554129	0.1495157932	0.7727841555	-19.1049131656	0.7105163029	6.6510170244	3.2452511907	0.0002236854	0.0020664733
25p45g	22	5	0.0973402625	0.0742020190	0.1029029688	0.9459422177	-28.3361410207	0.7429703462	11.0469248305	5.3902592640	0.0004436307	0.0015580133
25p47g	22	5	0.0967346256	0.0743885008	0.0995494785	0.9717240820	-29.4199175933	0.7614948367	10.5994502969	5.1530785403	0.0004255542	0.0015706824
25p49g	22	5	0.1070577141	0.0941947942	0.1181023643	0.9064823958	-24.6304665743	0.7398794629	9.6077840749	4.6858922905	0.0002608052	0.0020071514
25p51g	22	5	0.1044972455	0.0789036639	0.1081508568	0.9662174538	-26.6415086582	0.7260284940	10.6917212058	5.2265052165	0.0002305464	0.0016472386
25p53g	22	5	0.0977828435	0.0607500307	0.0834178835	1.1722048000	-36.0114248393	0.7499137446	16.2359196380	7.9627686727	0.0003076869	0.0018979958
30p53g	22	5	0.1204393447	0.1065198197	0.1243912966	0.9682296751	-21.9319682594	0.7246924929	8.1529381219	4.0254959683	0.0001980089	0.0019282720
comparison	20	5	0.0983622300	0.0789918084	0.1116129577	0.8812796650	-26.8400935093	0.7198345171	9.6806805374	4.6681109347	0.0003285379	0.0011122919
